mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type,advert_year,vehicle_age,avg_miles_per_year
63616,62,BLACK,MINI,COUNTRYMAN,USED,2012,10490,SUV,0,DIESEL,2020,8,7952
5103,69,WHITE,SKODA,FABIA,USED,2019,9299,HATCHBACK,0,PETROL,2020,1,5103
4871,69,BLUE,VOLVO,XC60,USED,2019,32950,SUV,0,DIESELHYBRID,2020,1,4871
17700,18,BLACK,KIA,SPORTAGE,USED,2018,12179,SUV,0,PETROL,2020,2,8850
13988,67,WHITE,VAUXHALL,CORSA,USED,2017,8629,HATCHBACK,0,PETROL,2020,3,4662
44928,66,BLACK,KIA,OPTIMA,USED,2016,13245,SALOON,0,PETROLPLUG-INHYBRID,2020,4,11232
8850,19,RED,KIA,SPORTAGE,USED,2019,18500,SUV,0,DIESEL,2020,1,8850
26230,12,RED,FIAT,500C,USED,2012,5500,CONVERTIBLE,0,PETROL,2020,8,3278
41875,66,RED,TOYOTA,RAV4,USED,2016,18490,SUV,0,PETROLHYBRID,2020,4,10468
26634,17,WHITE,LANDROVER,RANGEROVEREVOQUE,USED,2017,22000,SUV,0,DIESEL,2020,3,8878
25075,67,GREY,VAUXHALL,ASTRA,USED,2017,9898,HATCHBACK,0,DIESEL,2020,3,8358
0,20,BLACK,VOLKSWAGEN,TOUAREG,NEW,2020,58155,SUV,0,DIESEL,2020,0,0
44721,65,WHITE,NISSAN,JUKE,USED,2015,8900,SUV,0,PETROL,2020,5,8944
49533,66,BLACK,NISSAN,X-TRAIL,USED,2016,13850,SUV,0,DIESEL,2020,4,12383
43000,63,RED,SEAT,LEON,USED,2013,8750,HATCHBACK,0,PETROL,2020,7,6142
40000,67,WHITE,VOLKSWAGEN,SCIROCCO,USED,2018,14750,COUPE,0,PETROL,2020,2,20000
2595,19,RED,MAZDA,MAZDA2,USED,2019,13790,HATCHBACK,0,PETROL,2020,1,2595
53492,65,WHITE,VAUXHALL,ZAFIRATOURER,USED,2015,8711,MPV,0,PETROL,2020,5,10698
31572,66,RED,JAGUAR,F-PACE,USED,2016,26561,SUV,0,DIESEL,2020,4,7893
56000,03,ORANGE,SKODA,FABIA,USED,2003,1990,HATCHBACK,0,PETROL,2020,17,3294
21000,17,BLUE,CITROEN,C1,USED,2017,6290,HATCHBACK,0,PETROL,2020,3,7000
169000,65,BLUE,BMW,2SERIESGRANTOURER,USED,2016,8989,MPV,0,DIESEL,2020,4,42250
103000,66,BLACK,BMW,7SERIES,USED,2016,28500,SALOON,0,DIESEL,2020,4,25750
35000,16,BLUE,HYUNDAI,TUCSON,USED,2016,12000,SUV,0,DIESEL,2020,4,8750
71280,64,BLACK,BMW,6SERIESGRANCOUPE,USED,2014,16350,SALOON,0,DIESEL,2020,6,11880
68639,17,BLACK,PEUGEOT,308,USED,2017,6650,HATCHBACK,0,DIESEL,2020,3,22879
41000,17,SILVER,NISSAN,QASHQAI,USED,2017,11699,SUV,0,DIESEL,2020,3,13666
25000,17,GREY,RENAULT,KADJAR,USED,2017,12995,SUV,0,DIESEL,2020,3,8333
16220,66,BLUE,VAUXHALL,MOKKAX,USED,2017,11650,SUV,0,PETROL,2020,3,5406
37547,66,GREY,CITROEN,C4CACTUS,USED,2017,7995,HATCHBACK,0,DIESEL,2020,3,12515
20663,68,WHITE,SKODA,KAROQ,USED,2018,15995,SUV,0,DIESEL,2020,2,10331
11830,68,BLUE,DACIA,LOGANMCV,USED,2018,8495,ESTATE,0,PETROL,2020,2,5915
39161,64,GREY,MERCEDES-BENZ,CCLASS,USED,2014,13990,SALOON,0,DIESEL,2020,6,6526
60000,60,BLACK,MERCEDES-BENZ,CCLASS,USED,2011,7000,SALOON,0,PETROL,2020,9,6666
15606,67,GREEN,VAUXHALL,INSIGNIA,USED,2017,13995,HATCHBACK,0,PETROL,2020,3,5202
33155,18,GREY,FIAT,500,USED,2018,7500,HATCHBACK,0,PETROL,2020,2,16577
62000,09,BLUE,PEUGEOT,107,USED,2009,2970,HATCHBACK,0,PETROL,2020,11,5636
100,20,RED,VAUXHALL,ASTRA,USED,2020,15890,HATCHBACK,0,PETROL,2020,0,100
29898,68,GREY,MITSUBISHI,ECLIPSECROSS,USED,2018,16495,SUV,0,PETROL,2020,2,14949
4675,69,SILVER,VOLKSWAGEN,T-CROSS,USED,2019,17690,SUV,0,PETROL,2020,1,4675
29898,17,BLACK,SUZUKI,VITARA,USED,2017,14250,SUV,0,DIESEL,2020,3,9966
38537,15,BLACK,VAUXHALL,CORSA,USED,2015,6300,HATCHBACK,0,PETROL,2020,5,7707
35649,13,SILVER,SMART,FORTWO,USED,2013,4995,CONVERTIBLE,0,PETROL,2020,7,5092
37198,17,RED,NISSAN,QASHQAI,USED,2017,12500,SUV,0,DIESEL,2020,3,12399
57452,60,BLUE,PEUGEOT,RCZ,USED,2010,6495,COUPE,0,PETROL,2020,10,5745
10,20,RED,AUDI,RS4AVANT,NEW,2020,67982,ESTATE,0,PETROL,2020,0,10
9500,69,BLACK,TOYOTA,COROLLA,USED,2019,21995,HATCHBACK,0,PETROLHYBRID,2020,1,9500
